第8屆區域立法委員選舉彰化縣第1選舉區候選人在各投開票所得票數一覽表,,,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","投票率H
H=C÷G"
,,,"1
陳進丁
民主進步黨","2
施月英
綠黨","3
林益邦
無黨籍及未經政黨推薦","4
王惠美
中國國民黨",,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
總　計,,,"62,640","2,717","50,615","63,026","178,998","2,977","181,975",3,"181,978","57,585","239,563",75.96
　伸港鄉,,,"6,508",282,"7,175","5,948","19,913",292,"20,205",0,"20,205","6,838","27,043",74.71
　　,大同村,1,427,23,286,336,"1,072",20,"1,092",0,"1,092",350,"1,442",75.73
　　,海尾村,2,388,14,586,345,"1,333",26,"1,359",0,"1,359",407,"1,766",76.95
　　,全興村,3,268,12,549,362,"1,191",18,"1,209",0,"1,209",371,"1,580",76.52
　　,溪底村,4,526,19,433,295,"1,273",21,"1,294",0,"1,294",430,"1,724",75.06
　　,定興村,5,226,12,291,268,797,11,808,0,808,273,"1,081",74.75
　　,定興村,6,302,11,332,302,947,14,961,0,961,385,"1,346",71.40
　　,什股村,7,282,13,400,451,"1,146",15,"1,161",0,"1,161",493,"1,654",70.19
　　,泉州村,8,202,16,387,214,819,5,824,0,824,231,"1,055",78.10
　　,泉州村,9,200,11,242,204,657,16,673,0,673,211,884,76.13
　　,泉厝村,10,285,14,322,330,951,19,970,0,970,262,"1,232",78.73
　　,曾家村,11,422,12,331,371,"1,136",22,"1,158",0,"1,158",477,"1,635",70.83
　　,蚵寮村,12,446,7,218,181,852,8,860,0,860,280,"1,140",75.44
　　,新港村,13,314,23,309,336,982,18,"1,000",0,"1,000",308,"1,308",76.45
　　,新港村,14,364,16,445,386,"1,211",18,"1,229",0,"1,229",472,"1,701",72.25
　　,新港村,15,365,31,394,421,"1,211",17,"1,228",0,"1,228",467,"1,695",72.45
　　,埤墘村,16,294,11,346,220,871,9,880,0,880,258,"1,138",77.33
　　,七嘉村,17,308,11,299,261,879,5,884,0,884,332,"1,216",72.70
　　,七嘉村,18,339,10,313,303,965,18,983,0,983,331,"1,314",74.81
　　,汴頭村,19,306,5,346,135,792,5,797,0,797,238,"1,035",77.00
　　,汴頭村,20,244,11,346,227,828,7,835,0,835,262,"1,097",76.12
　線西鄉,,,"2,848",154,"2,796","3,677","9,475",168,"9,643",0,"9,643","3,463","13,106",73.58
　　,線西村,21,205,10,154,357,726,15,741,0,741,238,979,75.69
　　,線西村,22,223,14,244,337,818,12,830,0,830,279,"1,109",74.84
　　,頂庄村,23,213,13,415,259,900,19,919,0,919,312,"1,231",74.65
　　,寓埔村,24,235,11,228,279,753,18,771,0,771,298,"1,069",72.12
　　,寓埔村,25,256,14,203,277,750,21,771,0,771,271,"1,042",73.99
　　,塭仔村,26,314,17,206,340,877,7,884,0,884,344,"1,228",71.99
　　,溝內村,27,207,13,258,294,772,12,784,0,784,327,"1,111",70.57
　　,下犁村,28,405,21,336,549,"1,311",13,"1,324",0,"1,324",504,"1,828",72.43
　　,頂犁村,29,197,7,228,281,713,23,736,0,736,265,"1,001",73.53
　　,頂犁村,30,297,17,266,352,932,13,945,0,945,366,"1,311",72.08
　　,德興村,31,296,17,258,352,923,15,938,0,938,259,"1,197",78.36
　和美鎮,,,"17,972",891,"15,711","16,176","50,750",907,"51,657",1,"51,658","16,929","68,587",75.32
　　,竹營里,32,502,20,384,353,"1,259",20,"1,279",0,"1,279",449,"1,728",74.02
　　,竹營里,33,380,29,320,446,"1,175",18,"1,193",0,"1,193",395,"1,588",75.13
　　,竹營里,34,385,21,402,493,"1,301",19,"1,320",0,"1,320",407,"1,727",76.43
　　,和東里,35,415,27,326,448,"1,216",22,"1,238",0,"1,238",369,"1,607",77.04
　　,和東里,36,236,17,246,295,794,16,810,0,810,243,"1,053",76.92
　　,和東里,37,287,25,310,346,968,12,980,0,980,275,"1,255",78.09
　　,和南里,38,103,2,108,149,362,3,365,0,365,77,442,82.58
　　,和北里,39,414,17,331,408,"1,170",15,"1,185",0,"1,185",391,"1,576",75.19
　　,和西里,40,396,22,300,419,"1,137",18,"1,155",0,"1,155",390,"1,545",74.76
　　,和西里,41,417,19,310,421,"1,167",17,"1,184",0,"1,184",370,"1,554",76.19
　　,四張里,42,342,13,208,262,825,14,839,0,839,296,"1,135",73.92
　　,四張里,43,339,13,366,349,"1,067",19,"1,086",0,"1,086",397,"1,483",73.23
　　,頭前里,44,325,22,430,330,"1,107",13,"1,120",0,"1,120",371,"1,491",75.12
　　,面前里,45,131,3,213,165,512,7,519,0,519,149,668,77.69
　　,面前里,46,308,19,278,318,923,19,942,0,942,307,"1,249",75.42
　　,鎮平里,47,399,26,268,311,"1,004",17,"1,021",0,"1,021",328,"1,349",75.69
　　,鎮平里,48,404,14,307,247,972,21,993,0,993,229,"1,222",81.26
　　,大霞里,49,265,11,374,307,957,19,976,0,976,333,"1,309",74.56
　　,源埤里,50,432,21,391,365,"1,209",27,"1,236",0,"1,236",468,"1,704",72.54
　　,南佃里,51,497,15,460,449,"1,421",24,"1,445",0,"1,445",490,"1,935",74.68
　　,雅溝里,52,392,10,358,209,969,15,984,0,984,316,"1,300",75.69
　　,山犁里,53,370,23,330,437,"1,160",20,"1,180",0,"1,180",349,"1,529",77.17
　　,山犁里,54,419,16,348,395,"1,178",22,"1,200",0,"1,200",367,"1,567",76.58
　　,山犁里,55,383,17,296,311,"1,007",15,"1,022",0,"1,022",305,"1,327",77.02
　　,仁愛里,56,283,9,310,243,845,14,859,0,859,373,"1,232",69.72
　　,仁愛里,57,260,18,249,256,783,15,798,0,798,350,"1,148",69.51
　　,嘉犁里,58,392,23,450,442,"1,307",25,"1,332",0,"1,332",473,"1,805",73.80
　　,詔安里,59,505,19,368,461,"1,353",26,"1,379",0,"1,379",441,"1,820",75.77
　　,鐵山里,60,353,13,243,448,"1,057",22,"1,079",0,"1,079",307,"1,386",77.85
　　,鐵山里,61,320,11,169,330,830,11,841,0,841,290,"1,131",74.36
　　,柑井里,62,436,17,217,374,"1,044",22,"1,066",0,"1,066",344,"1,410",75.60
　　,柑井里,63,374,23,292,523,"1,212",23,"1,235",0,"1,235",387,"1,622",76.14
　　,竹園里,64,333,11,237,95,676,10,686,0,686,157,843,81.38
　　,新庄里,65,332,18,198,284,832,24,856,0,856,262,"1,118",76.57
　　,新庄里,66,314,18,205,369,906,25,931,0,931,256,"1,187",78.43
　　,犁盛里,67,291,13,273,244,821,14,835,0,835,277,"1,112",75.09
　　,犁盛里,68,319,27,247,238,831,17,848,0,848,294,"1,142",74.26
　　,中寮里,69,280,20,297,159,756,13,769,0,769,295,"1,064",72.27
　　,中圍里,70,370,13,209,150,742,11,753,0,753,239,992,75.91
　　,中圍里,71,493,21,330,330,"1,174",25,"1,199",1,"1,200",454,"1,654",72.49
　　,糖友里,72,334,22,309,411,"1,076",27,"1,103",0,"1,103",332,"1,435",76.86
　　,糖友里,73,473,32,433,598,"1,536",27,"1,563",0,"1,563",486,"2,049",76.28
　　,還社里,74,200,9,292,109,610,6,616,0,616,189,805,76.52
　　,塗厝里,75,335,29,493,358,"1,215",27,"1,242",0,"1,242",481,"1,723",72.08
　　,地潭里,76,218,6,268,171,663,8,671,0,671,231,902,74.39
　　,湖內里,77,456,12,241,187,896,10,906,0,906,298,"1,204",75.25
　　,嘉寶里,78,431,19,546,300,"1,296",25,"1,321",0,"1,321",494,"1,815",72.78
　　,月眉里,79,461,22,467,310,"1,260",22,"1,282",0,"1,282",410,"1,692",75.77
　　,月眉里,80,374,17,346,262,999,22,"1,021",0,"1,021",315,"1,336",76.42
　　,好修里,81,253,14,203,171,641,17,658,0,658,244,902,72.95
　　,好修里,82,241,13,155,120,529,7,536,0,536,179,715,74.97
　鹿港鎮,,,"15,898",670,"11,251","21,329","49,148",771,"49,919",2,"49,921","14,339","64,260",77.68
　　,大有里,83,354,32,207,270,863,15,878,0,878,259,"1,137",77.22
　　,中興里,84,159,4,64,174,401,7,408,0,408,112,520,78.46
　　,洛津里,85,275,20,176,206,677,12,689,0,689,198,887,77.68
　　,順興里,86,224,18,173,250,665,17,682,0,682,229,911,74.86
　　,埔崙里,87,323,15,138,342,818,19,837,0,837,225,"1,062",78.81
　　,埔崙里,88,504,15,214,413,"1,146",26,"1,172",0,"1,172",379,"1,551",75.56
　　,埔崙里,89,408,15,245,419,"1,087",21,"1,108",1,"1,109",349,"1,458",75.99
　　,新宮里,90,342,14,166,211,733,15,748,0,748,172,920,81.30
　　,玉順里,91,407,19,265,271,962,9,971,0,971,246,"1,217",79.79
　　,東石里,92,439,10,193,343,985,11,996,0,996,239,"1,235",80.65
　　,東石里,93,573,20,245,436,"1,274",15,"1,289",0,"1,289",350,"1,639",78.65
　　,東石里,94,319,5,136,228,688,13,701,0,701,248,949,73.87
　　,郭厝里,95,124,4,191,113,432,5,437,0,437,124,561,77.90
　　,永安里,96,314,13,190,425,942,14,956,1,957,253,"1,210",79.01
　　,永安里,97,436,20,219,503,"1,178",9,"1,187",0,"1,187",359,"1,546",76.78
　　,永安里,98,318,24,167,555,"1,064",10,"1,074",0,"1,074",265,"1,339",80.21
　　,景福里,99,275,12,265,335,887,12,899,0,899,253,"1,152",78.04
　　,泰興里,100,301,22,180,417,920,14,934,0,934,252,"1,186",78.75
　　,長興里,101,76,0,44,86,206,1,207,0,207,69,276,75.00
　　,興化里,102,133,6,137,167,443,9,452,0,452,150,602,75.08
　　,龍山里,103,185,6,150,195,536,3,539,0,539,136,675,79.85
　　,菜園里,104,295,12,249,185,741,16,757,0,757,192,949,79.77
　　,街尾里,105,275,10,195,340,820,15,835,0,835,248,"1,083",77.10
　　,街尾里,106,272,16,185,299,772,12,784,0,784,206,990,79.19
　　,詔安里,107,418,17,251,606,"1,292",24,"1,316",0,"1,316",484,"1,800",73.11
　　,海埔里,108,313,23,305,502,"1,143",17,"1,160",0,"1,160",354,"1,514",76.62
　　,海埔里,109,373,21,408,448,"1,250",30,"1,280",0,"1,280",414,"1,694",75.56
　　,洋厝里,110,92,8,95,566,761,9,770,0,770,154,924,83.33
　　,洋厝里,111,349,6,190,507,"1,052",27,"1,079",0,"1,079",323,"1,402",76.96
　　,草中里,112,262,11,201,586,"1,060",20,"1,080",0,"1,080",371,"1,451",74.43
　　,草中里,113,326,13,233,605,"1,177",20,"1,197",0,"1,197",342,"1,539",77.78
　　,頭南里,114,173,5,189,433,800,10,810,0,810,246,"1,056",76.70
　　,頭南里,115,171,13,151,322,657,15,672,0,672,171,843,79.72
　　,山崙里,116,318,8,99,322,747,13,760,0,760,257,"1,017",74.73
　　,山崙里,117,234,3,124,402,763,19,782,0,782,178,960,81.46
　　,山崙里,118,213,7,129,377,726,13,739,0,739,204,943,78.37
　　,頂番里,119,365,14,339,573,"1,291",19,"1,310",0,"1,310",351,"1,661",78.87
　　,頂番里,120,331,11,429,592,"1,363",21,"1,384",0,"1,384",360,"1,744",79.36
　　,頭崙里,121,230,4,338,526,"1,098",18,"1,116",0,"1,116",338,"1,454",76.75
　　,頭崙里,122,178,4,263,275,720,4,724,0,724,163,887,81.62
　　,溝墘里,123,258,5,411,510,"1,184",16,"1,200",0,"1,200",249,"1,449",82.82
　　,溝墘里,124,315,9,258,568,"1,150",20,"1,170",0,"1,170",334,"1,504",77.79
　　,溝墘里,125,160,5,175,305,645,8,653,0,653,149,802,81.42
　　,廖厝里,126,267,8,175,457,907,6,913,0,913,286,"1,199",76.15
　　,廖厝里,127,199,9,262,405,875,10,885,0,885,218,"1,103",80.24
　　,廖厝里,128,262,13,255,456,986,12,998,0,998,292,"1,290",77.36
　　,東崎里,129,384,14,368,651,"1,417",26,"1,443",0,"1,443",431,"1,874",77.00
　　,東崎里,130,427,23,158,500,"1,108",19,"1,127",0,"1,127",350,"1,477",76.30
　　,東崎里,131,300,13,166,397,876,12,888,0,888,295,"1,183",75.06
　　,頂厝里,132,377,19,229,487,"1,112",10,"1,122",0,"1,122",392,"1,514",74.11
　　,頂厝里,133,488,17,238,706,"1,449",28,"1,477",0,"1,477",403,"1,880",78.56
　　,頂厝里,134,354,20,178,488,"1,040",13,"1,053",0,"1,053",323,"1,376",76.53
　　,頂厝里,135,430,15,240,574,"1,259",12,"1,271",0,"1,271",394,"1,665",76.34
　福興鄉,,,"11,065",338,"7,379","8,852","27,634",468,"28,102",0,"28,102","9,119","37,221",75.50
　　,三汴村,136,475,13,193,336,"1,017",16,"1,033",0,"1,033",284,"1,317",78.44
　　,萬豐村,137,239,8,134,222,603,13,616,0,616,159,775,79.48
　　,元中村,138,335,14,248,302,899,22,921,0,921,273,"1,194",77.14
　　,外中村,139,416,19,298,151,884,14,898,0,898,248,"1,146",78.36
　　,外埔村,140,409,12,296,236,953,15,968,0,968,307,"1,275",75.92
　　,大崙村,141,324,12,228,268,832,19,851,0,851,294,"1,145",74.32
　　,番婆村,142,381,9,211,363,964,9,973,0,973,316,"1,289",75.48
　　,番婆村,143,260,12,175,199,646,20,666,0,666,264,930,71.61
　　,橋頭村,144,304,16,159,334,813,11,824,0,824,263,"1,087",75.80
　　,橋頭村,145,358,14,167,493,"1,032",28,"1,060",0,"1,060",359,"1,419",74.70
　　,社尾村,146,501,13,263,255,"1,032",17,"1,049",0,"1,049",334,"1,383",75.85
　　,番社村,147,497,16,333,207,"1,053",13,"1,066",0,"1,066",248,"1,314",81.13
　　,西勢村,148,305,15,145,292,757,12,769,0,769,244,"1,013",75.91
　　,西勢村,149,258,15,132,219,624,6,630,0,630,185,815,77.30
　　,同安村,150,306,8,175,255,744,16,760,0,760,227,987,77.00
　　,同安村,151,322,6,240,300,868,18,886,0,886,290,"1,176",75.34
　　,秀厝村,152,305,8,178,239,730,11,741,0,741,241,982,75.46
　　,秀厝村,153,371,11,235,332,949,11,960,0,960,319,"1,279",75.06
　　,福興村,154,380,15,483,377,"1,255",23,"1,278",0,"1,278",388,"1,666",76.71
　　,福興村,155,457,14,267,459,"1,197",16,"1,213",0,"1,213",483,"1,696",71.52
　　,福南村,156,290,8,248,222,768,10,778,0,778,286,"1,064",73.12
　　,福南村,157,307,8,336,317,968,19,987,0,987,357,"1,344",73.44
　　,鎮平村,158,300,7,257,255,819,18,837,0,837,294,"1,131",74.01
　　,三和村,159,401,11,143,236,791,11,802,0,802,236,"1,038",77.26
　　,二港村,160,416,4,212,314,946,15,961,0,961,304,"1,265",75.97
　　,福寶村,161,305,9,271,276,861,10,871,0,871,358,"1,229",70.87
　　,頂粘村,162,251,7,227,231,716,13,729,0,729,220,949,76.82
　　,頂粘村,163,294,6,255,351,906,9,915,0,915,312,"1,227",74.57
　　,廈粘村,164,248,12,150,265,675,9,684,0,684,220,904,75.66
　　,廈粘村,165,276,6,256,175,713,21,734,0,734,254,988,74.29
　　,麥厝村,166,430,5,183,179,797,13,810,0,810,265,"1,075",75.35
　　,麥厝村,167,344,5,281,192,822,10,832,0,832,287,"1,119",74.35
　秀水鄉,,,"8,349",382,"6,303","7,044","22,078",371,"22,449",0,"22,449","6,897","29,346",76.50
　　,秀水村,168,323,9,206,244,782,10,792,0,792,257,"1,049",75.50
　　,秀水村,169,184,7,132,129,452,8,460,0,460,139,599,76.79
　　,安溪村,170,536,24,415,378,"1,353",21,"1,374",0,"1,374",384,"1,758",78.16
　　,莊雅村,171,304,12,205,284,805,14,819,0,819,269,"1,088",75.28
　　,莊雅村,172,302,16,275,375,968,14,982,0,982,335,"1,317",74.56
　　,陝西村,173,274,16,394,321,"1,005",14,"1,019",0,"1,019",246,"1,265",80.55
　　,金興村,174,229,9,216,237,691,8,699,0,699,221,920,75.98
　　,金興村,175,255,13,194,183,645,6,651,0,651,182,833,78.15
　　,安東村,176,324,19,237,397,977,20,997,0,997,306,"1,303",76.52
　　,安東村,177,334,15,160,338,847,23,870,0,870,255,"1,125",77.33
　　,安東村,178,321,17,288,240,866,26,892,0,892,258,"1,150",77.57
　　,鶴鳴村,179,535,23,291,370,"1,219",17,"1,236",0,"1,236",391,"1,627",75.97
　　,鶴鳴村,180,312,17,307,293,929,11,940,0,940,299,"1,239",75.87
　　,馬興村,181,337,18,381,249,985,17,"1,002",0,"1,002",252,"1,254",79.90
　　,馬興村,182,252,13,189,205,659,15,674,0,674,224,898,75.06
　　,義興村,183,351,13,218,304,886,13,899,0,899,328,"1,227",73.27
　　,福安村,184,385,16,359,371,"1,131",16,"1,147",0,"1,147",371,"1,518",75.56
　　,福安村,185,299,25,351,329,"1,004",24,"1,028",0,"1,028",303,"1,331",77.24
　　,福安村,186,358,13,192,256,819,15,834,0,834,260,"1,094",76.23
　　,埔崙村,187,224,9,112,147,492,7,499,0,499,159,658,75.84
　　,埔崙村,188,338,14,174,315,841,7,848,0,848,274,"1,122",75.58
　　,曾厝村,189,447,21,292,374,"1,134",20,"1,154",0,"1,154",354,"1,508",76.53
　　,金陵村,190,538,22,291,296,"1,147",22,"1,169",0,"1,169",360,"1,529",76.46
　　,下崙村,191,251,18,318,283,870,13,883,0,883,291,"1,174",75.21
　　,下崙村,192,336,3,106,126,571,10,581,0,581,179,760,76.45
