第8屆區域立法委員選舉高雄市第7選舉區候選人在各投開票所得票數一覽表,,,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
邱毅
中國國民黨","2
鍾佩璇
健保免費連線","3
趙天麟
民主進步黨","4
趙振迪
無黨籍及未經政黨推薦",,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
總　計,,,"83,379","1,853","98,341",686,"184,259","1,785","186,044",2,"186,046","57,190","243,236",76.49
　前金區,,,"8,033",218,"9,586",105,"17,942",200,"18,142",0,"18,142","5,895","24,037",75.48
　　,三川里,"1,183",174,14,361,3,552,2,554,0,554,169,723,76.63
　　,草江里,"1,184",398,16,366,1,781,8,789,0,789,249,"1,038",76.01
　　,長城里,"1,185",337,17,657,7,"1,018",12,"1,030",0,"1,030",319,"1,349",76.35
　　,北金里,"1,186",243,9,360,2,614,11,625,0,625,218,843,74.14
　　,東金里,"1,187",293,7,428,4,732,8,740,0,740,223,963,76.84
　　,新生里,"1,188",563,16,556,8,"1,143",15,"1,158",0,"1,158",350,"1,508",76.79
　　,新生里,"1,189",669,17,687,3,"1,376",12,"1,388",0,"1,388",392,"1,780",77.98
　　,後金里,"1,190",287,7,299,2,595,7,602,0,602,194,796,75.63
　　,長興里,"1,191",404,13,421,2,840,8,848,0,848,296,"1,144",74.13
　　,青山里,"1,192",483,10,573,4,"1,070",10,"1,080",0,"1,080",428,"1,508",71.62
　　,民生里,"1,193",241,2,309,0,552,7,559,0,559,208,767,72.88
　　,復元里,"1,194",319,3,386,4,712,8,720,0,720,268,988,72.87
　　,林投里,"1,195",290,14,412,13,729,4,733,0,733,354,"1,087",67.43
　　,國民里,"1,196",306,8,393,19,726,12,738,0,738,241,979,75.38
　　,社東里,"1,197",305,9,312,7,633,5,638,0,638,208,846,75.41
　　,社東里,"1,198",306,10,323,5,644,7,651,0,651,169,820,79.39
　　,社西里,"1,199",360,3,396,4,763,18,781,0,781,268,"1,049",74.45
　　,博孝里,"1,200",301,5,380,5,691,9,700,0,700,228,928,75.43
　　,長生里,"1,201",607,16,592,3,"1,218",10,"1,228",0,"1,228",386,"1,614",76.08
　　,榮復里,"1,202",389,9,490,4,892,15,907,0,907,247,"1,154",78.60
　　,文西里,"1,203",328,4,406,2,740,7,747,0,747,188,935,79.89
　　,文東里,"1,204",430,9,479,3,921,5,926,0,926,292,"1,218",76.03
　新興區,,,"14,905",319,"18,198",110,"33,532",294,"33,826",0,"33,826","10,835","44,661",75.74
　　,浩然里,"1,205",458,4,351,1,814,7,821,0,821,244,"1,065",77.09
　　,浩然里,"1,206",292,4,306,3,605,5,610,0,610,182,792,77.02
　　,振成里,"1,207",410,9,493,2,914,4,918,0,918,325,"1,243",73.85
　　,德生里,"1,208",569,13,582,7,"1,171",11,"1,182",0,"1,182",361,"1,543",76.60
　　,德生里,"1,209",412,10,482,3,907,8,915,0,915,303,"1,218",75.12
　　,振華里,"1,210",431,12,443,4,890,9,899,0,899,281,"1,180",76.19
　　,正氣里,"1,211",534,13,578,3,"1,128",8,"1,136",0,"1,136",335,"1,471",77.23
　　,德政里,"1,212",256,7,267,4,534,6,540,0,540,162,702,76.92
　　,仁聲里,"1,213",305,8,349,1,663,14,677,0,677,281,958,70.67
　　,德望里,"1,214",360,12,394,1,767,5,772,0,772,262,"1,034",74.66
　　,德望里,"1,215",348,4,358,4,714,7,721,0,721,234,955,75.50
　　,華聲里,"1,216",297,3,450,3,753,2,755,0,755,230,985,76.65
　　,蕉園里,"1,217",244,4,341,2,591,6,597,0,597,139,736,81.11
　　,永寧里,"1,218",451,8,545,2,"1,006",6,"1,012",0,"1,012",357,"1,369",73.92
　　,玉衡里,"1,219",257,7,363,3,630,9,639,0,639,273,912,70.07
　　,順昌里,"1,220",324,7,476,3,810,9,819,0,819,210,"1,029",79.59
　　,順昌里,"1,221",303,4,368,1,676,10,686,0,686,211,897,76.48
　　,文昌里,"1,222",486,4,550,4,"1,044",12,"1,056",0,"1,056",294,"1,350",78.22
　　,文昌里,"1,223",457,4,443,4,908,6,914,0,914,268,"1,182",77.33
　　,光耀里,"1,224",381,7,514,3,905,10,915,0,915,254,"1,169",78.27
　　,光耀里,"1,225",433,8,437,2,880,4,884,0,884,238,"1,122",78.79
　　,興昌里,"1,226",346,7,324,1,678,8,686,0,686,188,874,78.49
　　,興昌里,"1,227",311,5,340,2,658,10,668,0,668,201,869,76.87
　　,開平里,"1,228",555,7,620,5,"1,187",5,"1,192",0,"1,192",315,"1,507",79.10
　　,開平里,"1,229",622,6,693,3,"1,324",10,"1,334",0,"1,334",342,"1,676",79.59
　　,成功里,"1,230",434,8,371,0,813,8,821,0,821,281,"1,102",74.50
　　,新江里,"1,231",307,10,504,2,823,9,832,0,832,299,"1,131",73.56
　　,黎明里,"1,232",255,8,376,1,640,2,642,0,642,246,888,72.30
　　,愛平里,"1,233",310,15,383,3,711,7,718,0,718,260,978,73.42
　　,南港里,"1,234",252,9,504,1,766,4,770,0,770,172,942,81.74
　　,南港里,"1,235",312,6,480,2,800,3,803,0,803,222,"1,025",78.34
　　,中東里,"1,236",331,10,367,1,709,9,718,0,718,460,"1,178",60.95
　　,中東里,"1,237",570,8,518,3,"1,099",8,"1,107",0,"1,107",398,"1,505",73.55
　　,明莊里,"1,238",189,4,320,2,515,6,521,0,521,194,715,72.87
　　,大明里,"1,239",292,9,468,7,776,9,785,0,785,272,"1,057",74.27
　　,秋山里,"1,240",226,7,389,1,623,6,629,0,629,239,868,72.47
　　,長驛里,"1,241",259,13,412,2,686,6,692,0,692,246,938,73.77
　　,建興里,"1,242",251,11,358,2,622,3,625,0,625,215,840,74.40
　　,建華里,"1,243",263,2,399,3,667,2,669,0,669,208,877,76.28
　　,漢民里,"1,244",221,9,404,4,638,4,642,0,642,149,791,81.16
　　,榮治里,"1,245",244,3,301,0,548,4,552,0,552,191,743,74.29
　　,東坡里,"1,246",347,10,577,5,939,13,952,0,952,293,"1,245",76.47
　苓雅區,,,"50,930","1,108","59,230",399,"111,667","1,066","112,733",2,"112,735","34,263","146,998",76.69
　　,博仁里,"1,247",288,13,245,2,548,4,552,0,552,143,695,79.42
　　,苓洲里,"1,248",495,10,521,1,"1,027",9,"1,036",0,"1,036",315,"1,351",76.68
　　,苓昇里,"1,249",463,9,565,3,"1,040",10,"1,050",0,"1,050",317,"1,367",76.81
　　,苓中里,"1,250",483,18,721,1,"1,223",14,"1,237",0,"1,237",400,"1,637",75.57
　　,苓雅里,"1,251",574,11,528,1,"1,114",7,"1,121",0,"1,121",313,"1,434",78.17
　　,苓東里,"1,252",442,8,678,8,"1,136",8,"1,144",0,"1,144",353,"1,497",76.42
　　,城北里,"1,253",449,7,631,4,"1,091",9,"1,100",0,"1,100",371,"1,471",74.78
　　,城西里,"1,254",170,5,277,1,453,5,458,0,458,131,589,77.76
　　,城東里,"1,255",390,2,442,3,837,8,845,0,845,304,"1,149",73.54
　　,城東里,"1,256",275,6,369,2,652,8,660,0,660,172,832,79.33
　　,意誠里,"1,257",576,12,547,4,"1,139",10,"1,149",0,"1,149",444,"1,593",72.13
　　,意誠里,"1,258",658,13,545,3,"1,219",12,"1,231",0,"1,231",579,"1,810",68.01
　　,鼓中里,"1,259",314,7,518,2,841,6,847,0,847,196,"1,043",81.21
　　,田西里,"1,260",428,8,598,6,"1,040",11,"1,051",0,"1,051",307,"1,358",77.39
　　,人和里,"1,261",316,7,406,2,731,8,739,0,739,213,952,77.63
　　,人和里,"1,262",251,4,336,4,595,4,599,0,599,228,827,72.43
　　,仁政里,"1,263",466,8,458,2,934,7,941,0,941,326,"1,267",74.27
　　,廣澤里,"1,264",268,5,472,5,750,10,760,0,760,244,"1,004",75.70
　　,廣澤里,"1,265",289,3,372,1,665,9,674,0,674,174,848,79.48
　　,美田里,"1,266",418,9,453,6,886,4,890,0,890,265,"1,155",77.06
　　,華堂里,"1,267",442,10,664,2,"1,118",8,"1,126",0,"1,126",341,"1,467",76.76
　　,華堂里,"1,268",561,5,523,2,"1,091",9,"1,100",0,"1,100",340,"1,440",76.39
　　,日中里,"1,269",385,7,483,1,876,10,886,0,886,251,"1,137",77.92
　　,日中里,"1,270",363,6,467,5,841,5,846,0,846,259,"1,105",76.56
　　,普照里,"1,271",402,1,530,2,935,12,947,0,947,263,"1,210",78.26
　　,普照里,"1,272",459,10,556,0,"1,025",9,"1,034",0,"1,034",307,"1,341",77.11
　　,和煦里,"1,273",464,18,425,4,911,5,916,0,916,274,"1,190",76.97
　　,和煦里,"1,274",251,6,416,0,673,7,680,0,680,176,856,79.44
　　,晴朗里,"1,275",389,6,501,5,901,5,906,0,906,975,"1,881",48.17
　　,普天里,"1,276",549,8,586,1,"1,144",7,"1,151",0,"1,151",342,"1,493",77.09
　　,普天里,"1,277",511,7,651,4,"1,173",13,"1,186",0,"1,186",379,"1,565",75.78
　　,林富里,"1,278",716,14,674,5,"1,409",13,"1,422",0,"1,422",471,"1,893",75.12
　　,林圍里,"1,279",458,7,385,0,850,12,862,0,862,222,"1,084",79.52
　　,林圍里,"1,280",437,5,413,3,858,11,869,0,869,234,"1,103",78.79
　　,林安里,"1,281",571,11,567,1,"1,150",4,"1,154",0,"1,154",321,"1,475",78.24
　　,光華里,"1,282",197,8,366,1,572,4,576,0,576,152,728,79.12
　　,林興里,"1,283",345,15,695,3,"1,058",12,"1,070",0,"1,070",289,"1,359",78.73
　　,林華里,"1,284",436,8,713,6,"1,163",6,"1,169",0,"1,169",311,"1,480",78.99
　　,林華里,"1,285",443,14,543,4,"1,004",9,"1,013",0,"1,013",315,"1,328",76.28
　　,林西里,"1,286",551,16,650,5,"1,222",12,"1,234",0,"1,234",361,"1,595",77.37
　　,林中里,"1,287",458,8,636,2,"1,104",14,"1,118",0,"1,118",341,"1,459",76.63
　　,林中里,"1,288",558,10,612,10,"1,190",18,"1,208",0,"1,208",368,"1,576",76.65
　　,林泉里,"1,289",785,11,634,6,"1,436",14,"1,450",0,"1,450",420,"1,870",77.54
　　,林南里,"1,290",593,7,507,1,"1,108",11,"1,119",0,"1,119",335,"1,454",76.96
　　,林南里,"1,291",541,8,498,5,"1,052",6,"1,058",0,"1,058",321,"1,379",76.72
　　,中正里,"1,292",529,3,459,1,992,11,"1,003",0,"1,003",240,"1,243",80.69
　　,中正里,"1,293",506,8,549,4,"1,067",7,"1,074",0,"1,074",332,"1,406",76.39
　　,尚義里,"1,294",621,13,544,4,"1,182",18,"1,200",0,"1,200",340,"1,540",77.92
　　,同慶里,"1,295",471,8,361,0,840,13,853,0,853,212,"1,065",80.09
　　,同慶里,"1,296",470,12,363,0,845,10,855,0,855,230,"1,085",78.80
　　,凱旋里,"1,297",878,10,625,6,"1,519",16,"1,535",0,"1,535",415,"1,950",78.72
　　,安祥里,"1,298",352,9,347,5,713,6,719,0,719,244,963,74.66
　　,安祥里,"1,299",570,11,505,5,"1,091",9,"1,100",0,"1,100",300,"1,400",78.57
　　,奏捷里,"1,300",606,8,596,3,"1,213",12,"1,225",0,"1,225",366,"1,591",77.00
　　,福壽里,"1,301",386,8,758,7,"1,159",16,"1,175",0,"1,175",301,"1,476",79.61
　　,福南里,"1,302",315,9,567,5,896,9,905,0,905,222,"1,127",80.30
　　,福南里,"1,303",273,7,498,3,781,12,793,0,793,227,"1,020",77.75
　　,五權里,"1,304",353,1,402,2,758,7,765,0,765,242,"1,007",75.97
　　,五權里,"1,305",363,6,395,1,765,7,772,0,772,215,987,78.22
　　,民主里,"1,306",507,10,488,4,"1,009",11,"1,020",0,"1,020",320,"1,340",76.12
　　,民主里,"1,307",391,6,484,1,882,4,886,0,886,287,"1,173",75.53
　　,民主里,"1,308",435,15,576,3,"1,029",7,"1,036",0,"1,036",282,"1,318",78.60
　　,林德里,"1,309",388,7,360,2,757,7,764,0,764,218,982,77.80
　　,林德里,"1,310",271,3,350,0,624,8,632,0,632,198,830,76.14
　　,林貴里,"1,311",620,14,680,7,"1,321",9,"1,330",0,"1,330",357,"1,687",78.84
　　,林榮里,"1,312",530,6,472,3,"1,011",10,"1,021",0,"1,021",310,"1,331",76.71
　　,林榮里,"1,313",397,10,480,5,892,7,899,0,899,274,"1,173",76.64
　　,林榮里,"1,314",505,12,522,6,"1,045",6,"1,051",0,"1,051",378,"1,429",73.55
　　,英明里,"1,315",317,12,426,1,756,7,763,0,763,244,"1,007",75.77
　　,英明里,"1,316",281,10,449,1,741,7,748,0,748,209,957,78.16
　　,林靖里,"1,317",695,13,458,3,"1,169",19,"1,188",0,"1,188",336,"1,524",77.95
　　,朝陽里,"1,318",459,12,637,2,"1,110",11,"1,121",0,"1,121",317,"1,438",77.96
　　,福隆里,"1,319",419,10,569,3,"1,001",6,"1,007",0,"1,007",320,"1,327",75.89
　　,福隆里,"1,320",431,7,532,4,974,7,981,0,981,284,"1,265",77.55
　　,福祥里,"1,321",451,11,498,2,962,13,975,0,975,273,"1,248",78.13
　　,福海里,"1,322",428,14,382,1,825,2,827,0,827,217,"1,044",79.21
　　,福康里,"1,323",227,10,445,2,684,4,688,0,688,167,855,80.47
　　,福康里,"1,324",265,15,491,2,773,6,779,0,779,229,"1,008",77.28
　　,福人里,"1,325",316,7,466,4,793,13,806,0,806,232,"1,038",77.65
　　,福人里,"1,326",364,6,361,4,735,9,744,0,744,218,962,77.34
　　,福地里,"1,327",411,19,615,9,"1,054",5,"1,059",0,"1,059",276,"1,335",79.33
　　,福地里,"1,328",563,16,521,5,"1,105",10,"1,115",0,"1,115",337,"1,452",76.79
　　,福居里,"1,329",413,18,586,13,"1,030",13,"1,043",0,"1,043",282,"1,325",78.72
　　,福居里,"1,330",402,13,680,3,"1,098",17,"1,115",0,"1,115",298,"1,413",78.91
　　,福東里,"1,331",363,6,503,5,877,9,886,0,886,236,"1,122",78.97
　　,福東里,"1,332",523,14,614,4,"1,155",9,"1,164",0,"1,164",305,"1,469",79.24
　　,福西里,"1,333",242,6,428,2,678,8,686,0,686,188,874,78.49
　　,福西里,"1,334",246,18,409,3,676,9,685,0,685,231,916,74.78
　　,永康里,"1,335",409,5,444,5,863,11,874,0,874,229,"1,103",79.24
　　,永康里,"1,336",433,17,462,4,916,9,925,0,925,263,"1,188",77.86
　　,正文里,"1,337",295,7,405,0,707,7,714,0,714,206,920,77.61
　　,正文里,"1,338",339,11,399,6,755,8,763,0,763,232,995,76.68
　　,正言里,"1,339",468,13,562,1,"1,044",9,"1,053",0,"1,053",378,"1,431",73.58
　　,正言里,"1,340",402,6,583,6,997,11,"1,008",2,"1,010",317,"1,327",75.96
　　,正大里,"1,341",598,18,495,4,"1,115",10,"1,125",0,"1,125",385,"1,510",74.50
　　,正大里,"1,342",565,15,653,6,"1,239",7,"1,246",0,"1,246",391,"1,637",76.11
　　,正大里,"1,343",573,9,542,4,"1,128",9,"1,137",0,"1,137",429,"1,566",72.61
　　,五福里,"1,344",514,18,430,5,967,10,977,0,977,267,"1,244",78.54
　　,五福里,"1,345",423,6,476,0,905,11,916,0,916,307,"1,223",74.90
　　,五福里,"1,346",453,12,515,6,986,10,996,0,996,290,"1,286",77.45
　　,正心里,"1,347",628,11,748,5,"1,392",12,"1,404",0,"1,404",421,"1,825",76.93
　　,正心里,"1,348",616,10,682,3,"1,311",9,"1,320",0,"1,320",439,"1,759",75.04
　　,正道里,"1,349",451,7,539,1,998,9,"1,007",0,"1,007",369,"1,376",73.18
　　,正道里,"1,350",469,11,510,2,992,13,"1,005",0,"1,005",335,"1,340",75.00
　　,正道里,"1,351",493,9,571,2,"1,075",8,"1,083",0,"1,083",319,"1,402",77.25
　　,正義里,"1,352",406,8,520,6,940,9,949,0,949,253,"1,202",78.95
　　,正義里,"1,353",422,6,573,5,"1,006",7,"1,013",0,"1,013",254,"1,267",79.95
　　,正仁里,"1,354",454,10,486,5,955,11,966,0,966,246,"1,212",79.70
　　,正仁里,"1,355",487,7,449,1,944,13,957,0,957,282,"1,239",77.24
　　,文昌里,"1,356",367,8,519,4,898,6,904,0,904,247,"1,151",78.54
　　,文昌里,"1,357",405,6,568,4,983,13,996,0,996,288,"1,284",77.57
　　,文昌里,"1,358",467,9,605,8,"1,089",9,"1,098",0,"1,098",301,"1,399",78.48
　　,建軍里,"1,359",581,21,924,7,"1,533",16,"1,549",0,"1,549",411,"1,960",79.03
　　,衛武里,"1,360",349,8,405,5,767,10,777,0,777,263,"1,040",74.71
　　,衛武里,"1,361",432,16,337,5,790,4,794,0,794,269,"1,063",74.69
　前鎮區,,,"9,511",208,"11,327",72,"21,118",225,"21,343",0,"21,343","6,197","27,540",77.50
　　,復國里,"1,362",364,20,663,7,"1,054",11,"1,065",0,"1,065",290,"1,355",78.60
　　,復國里,"1,363",520,9,561,5,"1,095",16,"1,111",0,"1,111",313,"1,424",78.02
　　,竹中里,"1,364",652,6,605,2,"1,265",14,"1,279",0,"1,279",368,"1,647",77.66
　　,竹中里,"1,365",488,10,697,2,"1,197",21,"1,218",0,"1,218",346,"1,564",77.88
　　,竹北里,"1,366",321,5,385,1,712,3,715,0,715,228,943,75.82
　　,竹北里,"1,367",350,5,435,3,793,5,798,0,798,270,"1,068",74.72
　　,興東里,"1,368",485,15,703,6,"1,209",16,"1,225",0,"1,225",354,"1,579",77.58
　　,興東里,"1,369",610,12,656,4,"1,282",17,"1,299",0,"1,299",357,"1,656",78.44
　　,興東里,"1,370",671,14,603,3,"1,291",13,"1,304",0,"1,304",401,"1,705",76.48
　　,竹西里,"1,371",371,5,588,6,970,7,977,0,977,226,"1,203",81.21
　　,竹西里,"1,372",455,13,550,4,"1,022",13,"1,035",0,"1,035",245,"1,280",80.86
　　,竹西里,"1,373",609,7,466,5,"1,087",6,"1,093",0,"1,093",298,"1,391",78.58
　　,竹東里,"1,374",347,8,422,5,782,10,792,0,792,263,"1,055",75.07
　　,竹東里,"1,375",409,9,395,2,815,14,829,0,829,249,"1,078",76.90
　　,竹內里,"1,376",378,7,510,1,896,10,906,0,906,302,"1,208",75.00
　　,竹內里,"1,377",366,13,683,1,"1,063",4,"1,067",0,"1,067",304,"1,371",77.83
　　,竹南里,"1,378",350,19,694,5,"1,068",11,"1,079",0,"1,079",339,"1,418",76.09
　　,竹南里,"1,379",537,7,627,2,"1,173",10,"1,183",0,"1,183",349,"1,532",77.22
　　,竹南里,"1,380",595,14,533,2,"1,144",13,"1,157",0,"1,157",321,"1,478",78.28
　　,竹南里,"1,381",633,10,551,6,"1,200",11,"1,211",0,"1,211",374,"1,585",76.40
